"id","bitcoin_price_id","low_rate","high_rate","timestamp"
"96","96","56552.56","62403.88","2024-05-01 17:00:02"
"97","97","56552.56","61817.44","2024-05-01 18:00:03"
"98","98","56552.56","61755.64","2024-05-01 19:00:03"
"99","99","56552.56","61486.57","2024-05-01 20:00:03"
"100","100","56552.56","61486.57","2024-05-01 21:00:04"
"101","101","56552.56","61486.57","2024-05-01 22:00:08"
"102","102","56552.56","61439.27","2024-05-01 23:00:03"
"103","103","56552.56","60951.67","2024-05-02 00:00:03"
"104","104","56552.56","60951.67","2024-05-02 01:00:04"
"105","105","56552.56","60951.67","2024-05-02 02:00:03"
"106","106","56552.56","60951.67","2024-05-02 03:00:03"
"107","107","56552.56","60951.67","2024-05-02 04:00:02"
"108","108","56552.56","60951.67","2024-05-02 05:00:03"
"109","109","56552.56","60951.67","2024-05-02 06:00:03"
"110","110","56552.56","60860.20","2024-05-02 07:00:04"
"111","111","56552.56","60808.45","2024-05-02 08:00:03"
"112","112","56552.56","60350.48","2024-05-02 09:00:02"
"113","113","56552.56","60259.13","2024-05-02 10:00:03"
"114","114","56552.56","60259.13","2024-05-02 11:00:03"
"115","115","56552.56","60259.13","2024-05-02 12:00:02"
"116","116","56552.56","60240.14","2024-05-02 13:00:05"
"117","117","56552.56","60102.18","2024-05-02 14:00:02"
"118","118","56552.56","59763.22","2024-05-02 15:00:03"
"119","119","56552.56","59367.43","2024-05-02 16:00:03"
"120","120","56598.36","59367.43","2024-05-02 17:00:04"
"121","121","56598.36","59367.43","2024-05-02 18:00:03"
"122","122","56598.36","59367.43","2024-05-02 19:00:03"
"123","123","56598.36","59367.43","2024-05-02 20:00:03"
"124","124","56598.36","59367.43","2024-05-02 21:00:03"
"125","125","56598.36","59367.43","2024-05-02 22:00:03"
"126","126","56598.36","59367.43","2024-05-02 23:00:03"
"127","127","56598.36","59387.72","2024-05-03 00:00:04"
"128","128","56598.36","59444.36","2024-05-03 01:00:02"
"129","129","56713.04","59444.36","2024-05-03 02:00:02"
"130","130","56713.04","59444.36","2024-05-03 03:00:03"
"131","131","56713.04","59563.98","2024-05-03 04:00:04"
"132","132","56953.41","59563.98","2024-05-03 05:00:03"
"133","133","56953.41","59563.98","2024-05-03 06:00:03"
"134","134","56953.41","59563.98","2024-05-03 07:00:04"
"135","135","56953.41","59563.98","2024-05-03 08:00:03"
"136","136","56953.41","59563.98","2024-05-03 09:00:03"
"137","137","57006.94","59563.98","2024-05-03 10:00:02"
"138","138","57191.01","59890.90","2024-05-03 11:00:03"
"139","139","57191.01","59989.73","2024-05-03 12:00:03"
"140","140","57191.01","59989.73","2024-05-03 13:00:03"
"141","141","57362.96","59989.73","2024-05-03 14:00:03"
"142","142","57526.17","59989.73","2024-05-03 15:00:03"
"143","143","57576.47","59989.73","2024-05-03 16:00:02"
"144","144","57576.47","59989.73","2024-05-03 17:00:03"
"145","145","57576.47","59989.73","2024-05-03 18:00:04"
"146","146","57772.69","59989.73","2024-05-03 19:00:03"
"147","147","58256.82","59989.73","2024-05-03 20:00:03"
"148","148","58256.82","60739.91","2024-05-03 21:00:03"
"149","149","58263.55","61746.44","2024-05-03 22:00:03"
"150","150","58718.82","62069.13","2024-05-03 23:00:03"
"151","151","58718.82","62069.13","2024-05-04 00:00:04"
"152","152","58718.82","62069.13","2024-05-04 01:00:03"
"153","153","58718.82","62153.24","2024-05-04 02:00:02"
"154","154","58718.82","62153.24","2024-05-04 03:00:04"
"155","155","58718.82","62153.24","2024-05-04 04:00:03"
"156","156","58734.32","62955.13","2024-05-04 05:00:03"
"157","157","58837.07","63181.86","2024-05-04 06:00:04"
"158","158","58837.07","63181.86","2024-05-04 07:00:02"
"159","159","58837.07","63318.84","2024-05-04 08:00:03"
"160","160","58837.07","63318.84","2024-05-04 09:00:03"
"161","161","58874.96","63570.16","2024-05-04 10:00:03"
"162","162","58874.96","63570.16","2024-05-04 11:00:03"
"163","163","58874.96","63570.16","2024-05-04 12:00:02"
"164","164","58874.96","63570.16","2024-05-04 13:00:03"
"165","165","58874.96","63570.16","2024-05-04 14:00:02"
